2017-03-31 19:07:26,277 | WARN  | Transport Connection to: tcp://127.0.0.1:50895 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50895@61616
2017-03-31 19:07:26,277 | WARN  | Transport Connection to: tcp://127.0.0.1:51021 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51021@61616
2017-03-31 19:07:26,276 | WARN  | Transport Connection to: tcp://127.0.0.1:51026 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51026@61616
2017-03-31 19:07:26,287 | WARN  | Transport Connection to: tcp://127.0.0.1:51061 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51061@61616
2017-03-31 19:07:26,276 | WARN  | Transport Connection to: tcp://127.0.0.1:50968 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50968@61616
2017-03-31 19:07:26,276 | WARN  | Transport Connection to: tcp://127.0.0.1:50972 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50972@61616
2017-03-31 19:07:26,276 | WARN  | Transport Connection to: tcp://127.0.0.1:50893 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50893@61616
2017-03-31 19:07:26,274 | WARN  | Transport Connection to: tcp://127.0.0.1:51068 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51068@61616
2017-03-31 19:07:26,304 | WARN  | Transport Connection to: tcp://127.0.0.1:51072 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51072@61616
2017-03-31 19:07:26,290 | WARN  | Transport Connection to: tcp://127.0.0.1:51064 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51064@61616
